    Updating crates.io index
 Downloading crates ...
  Downloaded async-stream-impl v0.3.6
  Downloaded anstyle-parse v1.0.0
  Downloaded bit-set v0.5.3
  Downloaded bcrypt v0.19.0
  Downloaded fallible-iterator v0.2.0
  Downloaded futures-task v0.3.32
  Downloaded http-range-header v0.4.2
  Downloaded num v0.4.3
  Downloaded nu-ansi-term v0.50.3
  Downloaded phf v0.11.3
  Downloaded rand_core v0.9.5
  Downloaded tonic-prost v0.14.5
  Downloaded toml_writer v1.1.1+spec-1.1.0
  Downloaded toml_datetime v0.7.5+spec-1.1.0
  Downloaded uuid v1.23.1
  Downloaded validator v0.20.0
  Downloaded yoke v0.8.2
  Downloaded zerovec-derive v0.11.3
  Downloaded zmij v1.0.21
  Downloaded tonic v0.14.5
  Downloaded schemars v0.9.0
  Downloaded zerocopy-derive v0.8.48
  Downloaded url v2.5.8
  Downloaded zerotrie v0.2.4
  Downloaded winnow v1.0.2
  Downloaded rustls v0.23.40
  Downloaded winnow v0.7.15
  Downloaded regex-automata v0.4.14
  Downloaded rustix v1.1.4
  Downloaded regex-syntax v0.8.10
  Downloaded ring v0.17.14
  Downloaded reqwest v0.12.28
  Downloaded zerocopy v0.8.48
  Downloaded tower-http v0.6.8
  Downloaded zerovec v0.11.6
  Downloaded tracing v0.1.44
  Downloaded tracing-subscriber v0.3.23
  Downloaded unicode-segmentation v1.13.2
  Downloaded unicode-normalization v0.1.25
  Downloaded typenum v1.20.0
  Downloaded wezterm-bidi v0.2.3
  Downloaded vcpkg v0.2.15
  Downloaded tungstenite v0.29.0
  Downloaded tower v0.5.3
  Downloaded termwiz v0.23.3
  Downloaded syn v2.0.117
  Downloaded syn v1.0.109
  Downloaded ureq v3.3.0
  Downloaded webpki-roots v1.0.7
  Downloaded unicode-width v0.2.2
  Downloaded rustls-webpki v0.103.13
  Downloaded redis v0.27.6
  Downloaded rayon v1.12.0
  Downloaded ratatui-widgets v0.3.0
  Downloaded tokio-util v0.7.18
  Downloaded regex v1.12.3
  Downloaded rayon-core v1.13.0
  Downloaded zerofrom v0.1.7
  Downloaded xattr v1.6.1
  Downloaded wezterm-color-types v0.3.0
  Downloaded wezterm-blob-leases v0.1.1
  Downloaded want v0.3.1
  Downloaded walkdir v2.5.0
  Downloaded wait-timeout v0.2.1
  Downloaded vtparse v0.6.2
  Downloaded version_check v0.9.5
  Downloaded validator_derive v0.20.0
  Downloaded utf8_iter v1.0.4
  Downloaded utf8-zero v0.8.1
  Downloaded ureq-proto v0.6.0
  Downloaded plotters v0.3.7
  Downloaded zeroize v1.8.2
  Downloaded zerofrom-derive v0.1.7
  Downloaded yoke-derive v0.8.2
  Downloaded writeable v0.6.3
  Downloaded whoami v2.1.2
  Downloaded wezterm-input-types v0.1.0
  Downloaded wezterm-dynamic v0.2.1
  Downloaded unicode-properties v0.1.4
  Downloaded unicode-ident v1.0.24
  Downloaded unicode-bidi v0.3.18
  Downloaded unicase v2.9.0
  Downloaded unarray v0.1.4
  Downloaded ucd-trie v0.1.7
  Downloaded try-lock v0.2.5
  Downloaded tracing-serde v0.2.0
  Downloaded tracing-log v0.2.0
  Downloaded tracing-core v0.1.36
  Downloaded tracing-attributes v0.1.31
  Downloaded tower-service v0.3.3
  Downloaded tower-layer v0.3.3
  Downloaded tokio v1.52.1
  Downloaded terminfo v0.9.0
  Downloaded socket2 v0.6.3
  Downloaded sharded-slab v0.1.7
  Downloaded libsqlite3-sys v0.36.0
  Downloaded wezterm-dynamic-derive v0.1.1
  Downloaded termios v0.3.3
  Downloaded tempfile v3.27.0
  Downloaded tagptr v0.2.0
  Downloaded synstructure v0.13.2
  Downloaded sync_wrapper v1.0.2
  Downloaded subtle v2.6.1
  Downloaded strum_macros v0.27.2
  Downloaded strum v0.27.2
  Downloaded structmeta-derive v0.3.0
  Downloaded structmeta v0.3.0
  Downloaded strsim v0.11.1
  Downloaded stringprep v0.1.5
  Downloaded static_assertions v1.1.0
  Downloaded stable_deref_trait v1.2.1
  Downloaded smallvec v1.15.1
  Downloaded slab v0.4.12
  Downloaded siphasher v1.0.2
  Downloaded signal-hook-registry v1.4.8
  Downloaded signal-hook-mio v0.2.5
  Downloaded signal-hook v0.3.18
  Downloaded shlex v1.3.0
  Downloaded utf8parse v0.2.2
  Downloaded untrusted v0.9.0
  Downloaded tokio-postgres v0.7.17
  Downloaded tokio-cron-scheduler v0.15.1
  Downloaded time v0.3.47
  Downloaded testcontainers-modules v0.15.0
  Downloaded testcontainers v0.27.3
  Downloaded ryu v1.0.23
  Downloaded unicode-truncate v2.0.1
  Downloaded tokio-tungstenite v0.29.0
  Downloaded serde_with v3.18.0
  Downloaded serde_json v1.0.149
  Downloaded serde v1.0.228
  Downloaded schemars v1.2.1
  Downloaded same-file v1.0.6
  Downloaded rusty-fork v0.3.1
  Downloaded rustversion v1.0.22
  Downloaded rustls-pki-types v1.14.1
  Downloaded rustls-native-certs v0.8.3
  Downloaded rustc_version v0.4.1
  Downloaded rustc-hash v2.1.2
  Downloaded ref-cast v1.0.25
  Downloaded ratatui-termwiz v0.1.0
  Downloaded ratatui-macros v0.7.0
  Downloaded ratatui-crossterm v0.1.0
  Downloaded quinn-proto v0.11.14
  Downloaded pq-src v0.3.11+libpq-18.3
  Downloaded linux-raw-sys v0.12.1
  Downloaded tokio-stream v0.1.18
  Downloaded tinystr v0.8.3
  Downloaded ref-cast-impl v1.0.25
  Downloaded rand v0.10.1
  Downloaded rand v0.9.4
  Downloaded quinn v0.11.9
  Downloaded proptest v1.11.0
  Downloaded toml_parser v1.1.2+spec-1.1.0
  Downloaded toml_datetime v1.1.1+spec-1.1.0
  Downloaded toml v1.1.2+spec-1.1.0
  Downloaded toml v0.9.12+spec-1.1.0
  Downloaded tokio-rustls v0.26.4
  Downloaded tokio-macros v2.7.0
  Downloaded tinyvec v1.11.0
  Downloaded tinytemplate v1.2.1
  Downloaded time-macros v0.2.27
  Downloaded time-core v0.1.8
