% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 76.87    1.385571      461857         3           futex
  9.58    0.172607          12     14023           sendto
  7.94    0.143050           4     29000           epoll_wait
  5.25    0.094636           6     15135           recvfrom
  0.20    0.003688         245        15        15 connect
  0.02    0.000357           6        53           write
  0.02    0.000329          10        32           epoll_ctl
  0.01    0.000262          17        15           socket
  0.01    0.000218           8        26           close
  0.01    0.000217          15        14           mprotect
  0.01    0.000140           6        21           fcntl
  0.01    0.000135           3        45           setsockopt
  0.01    0.000127          21         6           munmap
  0.01    0.000115          12         9         5 statx
  0.01    0.000104         104         1           clone3
  0.01    0.000097          48         2           rseq
  0.00    0.000075          12         6           sigaltstack
  0.00    0.000074          12         6           rt_sigaction
  0.00    0.000073           3        21           mmap
  0.00    0.000072           9         8           getrandom
  0.00    0.000069           8         8           read
  0.00    0.000063           9         7           openat
  0.00    0.000053          53         1           madvise
  0.00    0.000046           9         5           rt_sigprocmask
  0.00    0.000045           3        15           getsockopt
  0.00    0.000024          24         1           socketpair
  0.00    0.000024          12         2           gettid
  0.00    0.000023           7         3           brk
  0.00    0.000022          11         2           sched_getaffinity
  0.00    0.000020          10         2           prlimit64
  0.00    0.000018          18         1         1 mkdir
  0.00    0.000017          17         1           epoll_create1
  0.00    0.000014          14         1           eventfd2
  0.00    0.000013          13         1           prctl
  0.00    0.000011          11         1           poll
  0.00    0.000010           2         5           fstat
  0.00    0.000010           5         2           set_robust_list
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00    1.802429          30     58505        22 total
