% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 75.87    2.122838      707612         3           futex
 10.46    0.292678          11     25247           sendto
  8.26    0.230990           4     50662           epoll_wait
  5.21    0.145661           5     25619         4 recvfrom
  0.09    0.002614         174        15        15 connect
  0.02    0.000665          12        53           write
  0.01    0.000401          28        14           mprotect
  0.01    0.000344          13        26           close
  0.01    0.000277          18        15           socket
  0.01    0.000161           5        32           epoll_ctl
  0.00    0.000122           5        21           fcntl
  0.00    0.000112          22         5           munmap
  0.00    0.000104          14         7           openat
  0.00    0.000104          11         9         5 statx
  0.00    0.000087          17         5           rt_sigprocmask
  0.00    0.000084          14         6           sigaltstack
  0.00    0.000071           8         8           getrandom
  0.00    0.000069          69         1           clone3
  0.00    0.000068           8         8           read
  0.00    0.000068           1        45           setsockopt
  0.00    0.000066           3        21           mmap
  0.00    0.000059           9         6           rt_sigaction
  0.00    0.000051          51         1           madvise
  0.00    0.000036           2        15           getsockopt
  0.00    0.000028          14         2           rseq
  0.00    0.000022           7         3           brk
  0.00    0.000022          11         2           set_robust_list
  0.00    0.000020          10         2           sched_getaffinity
  0.00    0.000020          10         2           prlimit64
  0.00    0.000018          18         1           socketpair
  0.00    0.000018           9         2           gettid
  0.00    0.000015          15         1         1 mkdir
  0.00    0.000012          12         1           epoll_create1
  0.00    0.000011          11         1           poll
  0.00    0.000011          11         1           prctl
  0.00    0.000011          11         1           eventfd2
  0.00    0.000010           2         5           fstat
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00    2.797948          27    101874        26 total
